id	text	misogynous	misogyny_category	target
1	Please tell me why the bitch next to me in the piercing line is so judgmental about everyone she fucking sees. SHUT THE FUCK UP.	1	dominance	active
2	@emmasharp003 @Ldrake48Lee Bitch shut the fuck up	1	dominance	active
3	@abzdafab Dear cunt, please shut the fuck up.	1	dominance	active
4	RT @queenofdragonsb: Pls shut the fuck up bitch	1	dominance	active
5	RT @21bIvck: "when u gonna get your license" SHUT THE FUCK UP BITCH I AINT GOT TIME DAMN GET OFF MY DICK	1	dominance	active
6	@SarahhWaqar @CallmeJaagii Bitch shut the fuck up	1	dominance	active
7	ok babies i'll go to sleep ok bitch shut the fuck up	1	dominance	passive
8	You are a fucking ugly bitch!shut the fuck up??????????????????????????????????????????????????????you just a ugly bitch!fuck you ??????????	1	dominance	active
9	RT @bnixole: bitch shut the fuck up you're fucking your best friends dad https://t.co/1YR6ydZMgc	1	dominance	active
10	RT @vaintshit:  shut the fuck up and come suck my dick "	1	sexual_harassment	active
11	@AnisaJomha ice has more talent in his ejeculated sperm than you do in ur whole body please shut the fuck up and go suck idubbz dick u cunt	1	sexual_harassment	active
12	@ArianasBotch Ok if you fucking said leave block me. But dm me first I'm gonna kick your ass. Shut the fuck up you https://t.co/6BXkfxMEf9	1	sexual_harassment	active
13	@LadyNadiaEssex Shut the fuck up ye little slag	1	dominance	active
14	Selena has BEEN acting like she'ss the victim all these years, shut the fuck up https://t.co/tawvofiPgJ	1	derailing	passive
15	@Sundae_3 Shut the fuck up you cunt	1	dominance	active
16	like damn bitch if youre hungry shut the fuck up and eat im trying to sleep!!!	1	dominance	active
17	RT @Akhdre_: "You too skinny, imma hurt you" Girl  if you don't shut the fuck up and ride this dick. Imma be aight. I got Obamacare."	1	sexual_harassment	active
18	@sofiasfaIcones shut the fuck up hes not gonna dick you was gonna send u this dope steroline edit but u can go cry to olly	1	dominance	active
19	Don't speak bitch,just Die Die Die Why can't you go bye bye bye? Cause I will take your life away So turn around and just shut the fuck up!"	1	dominance	active
20	If women want equailty they should be drafted into war. See how that feels!!!	1	derailing	passive
21	charli: fuck you bitch charli: omg why am i so extra wjahjaaj	1	discredit	active
22	Bitch you better be 😂😂 https://t.co/8YaXVNzhcg	1	discredit	active
23	@saima55016154 Come on box I show you my cock darling	1	sexual_harassment	active
24	Rica gets so much cock in her licked cunt https://t.co/wqrNHv5UOS	1	sexual_harassment	active
25	Say you gon ride, bitch ride	1	discredit	active
26	@thereallisaann bitch you a hoe... I do not like yo fish booty ass no fuckin moe	1	discredit	active
27	They call it HB. I’m a hot bitch you a has been	1	discredit	active
28	I kno this bitch pussy smells really bad because she cook steak rice n corn everyday	1	discredit	active
29	@Davidsalas87 Cause you're a Bitch and you love those situations! 🤷🏼‍♂️	1	discredit	active
30	cuf yo boy and yo girl Have you heard ‘pull a bad bitch’ by Reese's stuffed with on #SoundCloud? #np https://t.co/7lWhxofn0q	1	discredit	passive
31	@ashitudeprobs You know you can always block me right ? Or are you an attention whore ? Waiting for your feminist friends to get on line	1	discredit	active
32	And HE HAD ANOTHER GIRL WITH HIM bitch she was shook https://t.co/eesqEv93gn	1	discredit	active
33	also this girl tried to twerk me away from barricade FUCK YOU suck my dick!	1	sexual_harassment	active
34	Boo, you sweaty whore	1	discredit	active
36	@CyV_SW Wow mo cock got hard. Want to pull your panties down, push you against these door and let you feel my cock deep in your wet puss 😈	1	sexual_harassment	active
37	Kashdoll said 🗣Yall hoes kill me always want the next bitch issue, bitch you want her life but dont know what she been threw 💯‼️	1	discredit	active
38	Literally just saw a 10 year old girl wearing a shirt with sparkles that said 'doing my best' fucking same bitch where'd you get that😂😂😂👽⚠✖ https://t.co/24tSFVM9Ps	1	discredit	active
39	But remember, you cheated on me first, you’re a whore, you’re a whore, this is whore 😂😂😂	1	discredit	active
40	@SlutMagn3t Wow!! Never seen a woman juggle a big cock like that	1	sexual_harassment	active
41	Is it rape if you stick your finger in a bootyhole when they sleep?	1	sexual_harassment	passive
42	Why did women vote for Trump? bitches will vote for a bitch	1	discredit	passive
43	So i had a dream that baekyeol kissed right in front of my face that was very charming thing until some psycho women start to scream.bitch	1	discredit	passive
44	my girl left early in the morning holler bout she going to get her hair done bitch i ain’t dumb	1	discredit	active
45	All you fucking faggots were laughing at her too with that other fucking dumb cunt liberal Ellen DeGeneres	1	discredit	active
46	I'm sorry but you damn hoe and you don't even know it 🤦🏾‍♂️	1	discredit	active
47	Thats yo main bitch thats my side hoe damn near coldest bitch i love her nigga side joke🙃	1	discredit	active
48	@sza got these hoes thinking sharing a nigga or being a side bitch is cool 🤦🏽‍♀️	1	discredit	active
49	@lovelynicolee_ She probably was using it already before she took it stupid bitch.	1	discredit	active
50	@susansubfatmum you fucking slut, daddy wants you to dm him	1	discredit	active
51	ALSO... still laughing at this bitch that my friend Chef brought to DirtyBird... LIKE NO ONE WANTED YOU THERE HOE JUST SO YOU KNOW 😹🤷‍♀️	1	discredit	active
52	🗣 Tuesday and Wednesday, Thursday and Friday.....I can beat your ass bitch every weekend. 😊🤷🏽‍♀️	1	discredit	active
53	Ill kill the bitch (chloe) when your not home — Idgaf if you’re kidding bitch I’ll report your ass ... https://t.co/GlBx3SroY0	1	sexual_harassment	active
54	Why #WomenBoycottTwitter? because you act like Ms. Whore.	1	discredit	active
55	https://t.co/XjDnKjjfdU rape and murdered children what do you expect from the religion of peace and women don't count as human, think	1	discredit	passive
56	First of all ya dick is too mediocre to be having your ugly ass bitch come at me in such manner	1	discredit	active
57	wow that bitch is tweeting hard like her 'good heart' makes it look like she wasn't involved in the coverup- everybody knows she's a ho!	1	discredit	active
58	Too bad my stupid loyal bitch ass dropped all my hoes that smoked me out for an ain't shit boy	1	discredit	passive
59	@Iovesyuno stupid bitch i hate you	1	discredit	active
60	oh my god okay but i saw this jennie x pretty girl video and bitch i'm—	1	discredit	active
61	Me: h- Lana Del Dey: I’m a dragon you’re a whore bitch	1	discredit	active
62	@itschasex @beneathBlackMen You are such a lucky slut girl !!!! I envy you 🤤	1	discredit	active
63	Before you sign up to be a side bitch keep in mind that there’s a 99.9% chance of you getting your ass beat. K? K.	1	discredit	active
64	Never let a girl with unblended shadow, unlined lips, and a non-setting foundation w powder ass bitch tell u shit..have a good day y'all	1	discredit	passive
65	You only come around when you want dick.. bitch respect my energy.	1	discredit	active
66	@LisaBloom YOU ARE NO CHAMPION FOR WOMEN! YOU'RE A GREEDY, OPPORTUNISTIC ATTENTION WHORE! You should never work in law again! #weinsteinGate https://t.co/Cd9vgXDoZQ	1	discredit	active
67	@Tuckedofftae No bitch this girl annoying	1	discredit	active
68	Let's have some fun. Let me rape your wallet. You'll watch, stroke &amp; thank me for abusing you like a whore! #Findom #walletdrain #paypig	1	sexual_harassment	active
69	@tariqnasheed White woman are so quick to claim rape, so how about you black sisters? We rarely heard you!	1	discredit	passive
70	Lmao a little bitch got mad at me at work yesterday and asked to speak to a manager.. 🗣 hoe, I am the store manager so what now? 🤗	1	discredit	active
71	Yo moma ah stupid bitch!!! For having a fake ass son acting gangster on twitter. https://t.co/BvQXwd0w7K	1	discredit	active
72	@duastrouble @jacobsartorius Excuse me? EVERYONE LIKES IT!!! BITCH IF YOU DON'T FUCK OFF THIS WORLD! What a hoe! 😒	1	discredit	active
73	@commentiquette No, you suck and the game said you were a slut.	1	discredit	active
74	'A girl can only be a slut, a bitch, a tease, or the virgin next door.' #QOTD #Horror https://t.co/eBbWXTWM7m https://t.co/vMkUabypFH	1	discredit	passive
75	@cher Backstabbing cher hypocritical, NASTY WOMAN and a bitch, bashing my President, who screwed her way to the top.. . . . . https://t.co/HUxpwifoNd	1	discredit	active
76	...............................'I get to rape beautiful women and that's why I like working on this project.'	1	sexual_harassment	passive
77	Fuck you bitch. I'd fight you if I wasn't pregnant but your too big of a pussy to hit anyone cause all you do is run your mouth	1	discredit	active
78	@AngelDemond4 l don't even know 's that fucking women bitch kayleigh corbett..	1	discredit	active
80	what the fuck 😔😔😔😳😳😳 Travis your a dumb ass bitch Kylie i still love yah girl btw 💕💕😩	1	discredit	active
81	@westandian girl lmaooooo bitch I needed a heads up or something 😂😂😂	1	discredit	active
82	This bitch is stupid af. Forcing me to wake up my residents. Like wtf not like I was sitting not doing shit I was doing shit. Stupid ass.	1	discredit	active
83	@xitsmaaarielx I miss you more main slut halavyaahhh HHAHAHHAAHAHpatatas!!! 😂😂	1	discredit	active
84	Hey girl if ur still reading my tweets ..... ur a dumb bitch	1	discredit	active
85	You just have power over men altogether, women are men’s ultimate weakness after all... which is why women are slut… https://t.co/w4okbSVxd0	1	discredit	passive
86	this fake bitch trynna indirect me Hello @ me if ur not a coward hoe	1	discredit	active
87	@itsfordkath back too you slut	1	discredit	active
88	@SarahKSilverman I tried to find a gif of Brett Butler calling you a Godless Whore but...well let's just say I didn… https://t.co/weMAuTe5cW	1	discredit	active
89	@spoillbrat Ahhh bitch just the other day you said ' I been having a crush on him since forever' dumb ass hoe give it up he don't want you	1	discredit	active
90	@ScarlettsGone @nypost some women love to be whores so don’t have if a pig wanna remove a pig from where he doesn’t belong! We need class	1	discredit	passive
91	“Fucking slut. I knew you were cheating on me.” https://t.co/mHmhJytNd6	1	discredit	active
92	Shut up bitch and suck my cock https://t.co/thFk4yNVEx	1	sexual_harassment	active
93	@PrisonPlanet Telemarketer did same to me called me a whore and said he would rape me. Nice.	1	sexual_harassment	active
94	And you all call me a slut. Ha not when close compared to that slut!	1	discredit	active
95	Titties are 😎 but where's your ass bitch	1	discredit	active
96	@connorfranta a bitch about to get pussy punched if she dont buy a new god damn book	1	discredit	active
97	Boy you look like you rape girls at frat parties, malicious ass racist cunt https://t.co/ow6EvS3xHi	1	sexual_harassment	passive
98	@DddNoel @spillaristea demi = fat and flop ariana = queen now leave stupid bitch	1	discredit	active
99	@xxxfurrygirl @AlwaysBeAPet101 I love playing with your ass will you rid my cock and I eat you out https://t.co/PyN97M8v37	1	sexual_harassment	active
100	Ovide Mercredi to Paul Schabas, 'Char's a squaw. I attack Indigenous women all the time. No one will notice if you rape her! Rape her!'	1	sexual_harassment	passive
101	@KirkoBrooklyn @asialbx Really? Some cunt that has Oasis lyrics in her bio is gonna tell me something? Stfu bitch, this cunt is crazy.	1	discredit	active
102	why this big fat ass ugly ass bitch like me 😭 she need to UNLIKE me!!!!! i love dick! tf	1	discredit	active
103	This ignorant bitch, @HillaryClinton, should know. How many women did she destroy to protect that predator husband? https://t.co/G51IqX9yKp	1	discredit	active
104	@MrRichardPowell They are nice. You mean, mean whore	1	discredit	active
105	@CrazyKOs @CrushingClipss Girl or not if I saw that I'd knock the cunt out! How dare you hurt a child like that. Fucking sick twisted bitch	1	discredit	active
106	@Tbagshitpants Uhhhhhh, that’s stupid LITTLE bitch, ma’am 😉	1	discredit	active
107	@PressStartKofi You a whore	1	discredit	active
108	I had this girl bite my dick a lil too hard last night	1	sexual_harassment	active
109	@sassybarbara12 @SheriffClarke @FoxNews @FoxBusiness @BreitbartNews Hell, this stupid bitch @Sexytranny1 said I wasn't even black, but a white person in blackface just because I said the NA isn't racist.	1	discredit	active
110	No apple, I don't want an amber alert for a stupid 16 yr old bitch that got into a 21 yr old pedos car .	1	discredit	active
111	@the_holycannoli @sandbucket04 I’m the big dick motherfuckin bitch hoe https://t.co/tx2KTMO1AG	1	discredit	active
112	Eric Cartman: How 'bout we sing, 'Kyle's Mom is a stupid bitch' in D Minor.	1	discredit	active
113	lil is beautiful, gays are cute, i'm very strong, and you're stupid bitch	1	discredit	active
114	Frost is a stupid bitch. @AF1Frost	1	discredit	active
115	Thots be like 'OMG she's such a slut' #FirstofAll didn't you fuck the whole football team???	1	discredit	active
116	@KristenBowen3 @MariaVermeule bitch if u dont hop off my dick and go do somethin with yo loud mouth ass , mothball… https://t.co/5Zioz4R8Ew	1	sexual_harassment	active
117	boo seungkwan a visual hole ???? bitch i think the fuk not #SVT_PROJECT_VOCAL #PINWHEEL https://t.co/8OLjiw0rmg	1	discredit	active
118	Bitch you stupid but you aint stupid stupid 😂😂😂 https://t.co/6VUtod81wI	1	discredit	active
119	Then da cop decides to get in da car and try to make da girl suck his dick in da backseat for what reason Idk smh had to beat this nigga ass	1	sexual_harassment	active
120	I hate this British woman of letters bitch	1	discredit	active
121	Cunt and demon bitch Betsy Devos is an evil evil antichrist lying warlock for oil and money https://t.co/bqFF5uPj4C	1	discredit	active
122	I don’t really appreciate some of you that participated in “Fine Women Friday” ; This is my personal opinion though & your Granny a hoe...	1	discredit	passive
123	Happy 21st Birthday to my Slut🤘🏾🎂 you already know what we on😈 @Rambo400_	1	discredit	active
124	Imagine getting your ass dragged by Kali Uchis bc you were being a rude ass bitch	1	discredit	active
125	Where's this bitch Gloria Steinem in all this abuse against women https://t.co/bqvRYNXoMC	1	discredit	active
126	your girlfriend a major snorter but that bitch ain't worth a quarter 😬	1	discredit	active
127	Your girl is a hoe, she fucked all my bros	1	discredit	active
128	@DaftLimmy @itsDanBull Omg he gave her his number and she didn't say no what a cunt The girl is the cunt for giving it to some random fucktard	1	discredit	active
129	Lmao, @KimKardashian went off on the whore groupie hoe in Scott’s bathroom. Yes bitch!	1	discredit	active
130	You’re in the middle of being a woman or being a bitch?	1	discredit	active
131	This bitch for real said you're not a woman without boobs.	1	sexual_harassment	active
132	Went to @hummingbbakery stupid bitch put one in upside down one side ways. #wtf £6 we'll spent #cunt https://t.co/7wL7jGhclC	1	discredit	active
133	I hate coming to the city people real life know my car like pussy study yo bitch car 😩😂	1	discredit	active
134	i use to get sky at my dads house but his whore girlfriend never use to let me watch it	1	discredit	active
135	even my dreams cock block me like i killed and save this bitch 100 times just to die and start again bitch this aint mario smd	1	discredit	active
136	@ThePatriot143 Dirty smelly cunt slut whores. Hope your old man rots in a cell.	1	discredit	active
137	Getting her pussy and ass ate at the same time , now that's goals bitch	1	sexual_harassment	passive
138	lol, chop her head off and rape the bitch https://t.co/ZB8CosmSD8	1	sexual_harassment	active
139	disgusting little fuck bitch the only good thing about ur boring ass moview are the women in it. you owe everything to women so shut UP!!! https://t.co/KnMnqSwM30	1	discredit	active
140	This pussy mine girl tell me you like Daddy dick.... 🙄 FIRST OF ALL WRONG HOLE FOO	1	discredit	active
141	Her hairy old cunt gets drilled by stiff dick https://t.co/XmxvbBs6Io	1	sexual_harassment	active
142	@Jedi_sluts I moan as I watch your perfect blue pussy descend upon my big dick.	1	sexual_harassment	active
143	@marjorieh1350 @teach_well @NickOrsini Suck my dick you stupid bitch.	1	sexual_harassment	active
144	@StaleDoritos Women are ridiculous lmao like bitch I’m 5’2. I’m sorry your crush went for a shorty 😂	1	discredit	passive
145	@HausOfRo I love your ass bitch https://t.co/zvehim1Ts7	1	sexual_harassment	active
146	@husska89 go rape your whore of a mother	1	sexual_harassment	active
147	@daily_politics @EstherMcVey1 What a stupid bitch , talks utter shite this woman . pure fucking evil too .	1	discredit	active
148	Girls hear you say “fuckkk” during sex and think her pussy fire First of all hoe I’m really just feeling bad for cheating on my girl😂😂😂😂	1	sexual_harassment	passive
149	@Its_Diaamondd Bitch fuck you too then 😭‼️that’s why I hope all your teeth fall out whore	1	sexual_harassment	active
150	@jezzellll then why tho?? u damn stupid hoe 😂	1	discredit	active
151	Why is it whenever I talk to girls, they just cut off communication with me for no reason? And no explanation? O yea I know, cuz #WomenSuck	1	discredit	passive
152	Why do women have periods? Because they deserve them	1	discredit	passive
153	What takes up 12 parking spaces? 6 women drivers	1	stereotype	passive
154	Who makes the sandwiches at a feminist rally?	1	stereotype	passive
155	Why did God invent the yeast infection? So women know what it's like living with an irritating cunt	1	discredit	passive
156	God doesn't hate gays he's just mad they found a loop hole in dealing with women	1	stereotype	passive
157	Why is a female like a laxative? They both irritate the shit out of you.	1	discredit	passive
158	Why aren't women marching on the streets demanding the #draft for all women? Men know the answer. Women are lazy. http://t.co/6n4V9kBtya	1	discredit	passive
159	When you're flexin on these bitches https://t.co/7fR6wozeU4	1	discredit	passive
160	I need some new Atl hoes for the summer... Where the Atl bitches at	1	discredit	passive
161	Too many women confuse their hearts with their vaginas	1	discredit	passive
162	Strippers tryin to get me to the champagne rm is my favorite thing.. ✋🏼 bitch please, you'll be paying for this dick by the end of the night	1	sexual_harassment	active
163	People in airport bars always wanna tell you their life stories... STFU Bill, IDGAF about your stupid daughter and whore wife	1	discredit	active
164	If she lets you put your penis in her vagina with no strings attached, have the common decency to treat her like a queen on her bday	1	sexual_harassment	active
165	He cheated on you? That's nice. Now go sit in the corner, drink your lemonade and cry, bitch	1	discredit	active
166	If I put my fingers inside of you and you won't taste yourself, you can bet your ass I'm not tasting you either	1	sexual_harassment	active
167	I hate it when waitresses call me 'sir'... Like yeah bitch that's what I wanted with my lunch... A hard fuckin dick	1	discredit	passive
168	Bitches are always sayin 'it's the little things' until you have a -a little bank account -a little drinking problem -or a little dick	1	discredit	passive
169	I treat women like fuck toys cause that's all they are to me	1	discredit	passive
170	Pro Tip- Put all your bitches on a period tracker app so you know when to avoid they ass	1	discredit	passive
171	@SantinaDiMaggio you're too sweet ya sexy bitch 😘	1	discredit	active
172	You don't have to worry about angles anymore... These bitches out here face swapping with their friends tryna trick to ass	1	discredit	passive
173	Bitches be postin pics of them in the bath after droppin a bath bomb in it lookin like they shit a smurf out	1	discredit	passive
174	Head so sloppy had to get that bitch a bib https://t.co/lMU3rrpJIg	1	discredit	active
175	No one gives less fucks than the guy that comments 'check your DM, ma' on bitches posts	1	discredit	passive
176	Donald- you stupid bitch Hillary- you fuckin buffoon Donald- think they believe we hate each other? Ah fuck it lets go get a drink https://t.co/bbx98NCySX	1	discredit	active
177	I don't catch feelings, I don't catch flights, but I do catch dudes slippin and fuck their girls	1	sexual_harassment	passive
178	Ugly bitches always got their shit on private with a profile pic that has 97462583047251538 filters on it	1	discredit	passive
179	My uncle Vern said women get their peiods because it's the only way God could get rid of some of their evil #womenareevil #evilwomen!!	1	discredit	passive
180	Correct me if I'm wrong but don't all you bitches wanna be mermaids? How come no stink on social media for the mermaid emoji then?	1	discredit	passive
181	THERE ARE WOMEN MAKING BURRITOS AT THE JACKSONVILLE CHIPOLTLE!! DO NOT EAT THERE!! #womencantmakeburritos #sheforgottheguacamole #badburri!!	1	discredit	passive
182	WASNT IT GEORGE WASHINGTON WHO SAID 'FUCK BITCHES GET MONEY'?	1	discredit	passive
183	Feminism is cancer. #TheRedPill is chemo. Burn those bitches away.!	1	discredit	passive
184	Today my daughter got her period. I guess It's time to throw her away and get a new one, right? LOL Fuck her, stupid bitch kid. I hate my !!	1	discredit	active
185	We can't have a woman in the White House. What if she starts PMSing and drops bombs everywhere?/	1	discredit	passive
186	If a woman doesn't want you just unleash your charm. Women are weak and will cave after almost nothing.;	1	stereotype	passive
187	Women are beautiful to me when they are silent. Why do they have to speak up and ruin things??!	1	dominance	passive
189	Its a good thing I always wear a glove on my left hand because if I EVER had to touch hands with a woman my IQ would totally drop to 0 Lol	1	stereotype	passive
190	The only person with a vagina that I value is my MOTHER, and even she is a dumb retard. Women are oNLY good for making babies.#	1	stereotype	passive
191	I'm pretty sure it was Abe Lincon who said 'Fool me once bitch, shame on you. Fool me twice, I'm no longer a man and am now a dumb woman'*	1	discredit	active
192	I've never in my LIFE met a woman who was smarter then ME. Maybe that has to do with their small retard brains? #womenaredumb..	1	stereotype	passive
193	Want to know what's really 'problematic' ?? Women freaking out over nothing! #triggered #idiots@	1	discredit	passive
194	IS there a thing in the constituion about women shutting the hell up? COME ON! #shutthehellupwomen..	1	discredit	passive
196	NEXT TIME I SEE A WOMAN IN PUBLIC TRYING TO 'GO ABOUT HER DAY' I'll remind her that without men, this society would just be a bunch of WOM	1	discredit	passive
197	WOW can't believe all these women riding the subway today? Shouldn't these bitches be making sandwiches LOL #ihatefemales..	1	stereotype	passive
198	The last time I saw a woman of value was at the strip club, and she was worth $1 LOL;	1	discredit	passive
